808000:	18      	CLC 
808001:	FB      	XCE 
808002:	E224    	SEP #$24
808004:	C210    	REP #$10
808006:	A2FF1D  	LDX #$1DFF
808009:	9A      	TXS 
80800A:	78      	SEI 
80800B:	F40000  	PEA $0000
80800E:	AB      	PLB 
80800F:	AB      	PLB 
808010:	A901    	LDA #$01
808012:	8D0042  	STA $4200
808015:	A980    	LDA #$80
808017:	8D0021  	STA $2100
80801A:	A901    	LDA #$01
80801C:	8D0D42  	STA $420D
80801F:	22B38100	JSR $0081B3
808023:	A22B83  	LDX #$832B
808026:	22318200	JSR $008231
80802A:	A2A883  	LDX #$83A8
80802D:	22318200	JSR $008231
808031:	22C78200	JSR $0082C7
808035:	22548200	JSR $008254
808039:	226A8200	JSR $00826A		init oam table
80803D:	22558382	JSR $828355	upload spc

808041:	A901    	LDA #$01
808043:	8D4B00  	STA $004B
808046:	8D4C00  	STA $004C
808049:	A981    	LDA #$81
80804B:	8D0042  	STA $4200
80804E:	58      	CLI 
80804F:	22008081	JSR $818000		first screen init
808053:	22BB8281	JSR $8182BB	second screen
808057:	A900    	LDA #$00
808059:	EB      	XBA 
80805A:	ADD906  	LDA $06D9	mode, intro
80805D:	0A      	ASL
80805E:	AA      	TAX 
80805F:	7C6280  	JMP ($8062,x)


########NMI############
808095:	C220    	REP #$20
808097:	8B      	PHB 
808098:	0B      	PHD 
808099:	48      	PHA 
80809A:	DA      	PHX 
80809B:	5A      	PHY 
80809C:	E220    	SEP #$20
80809E:	F40000  	PEA $0000
8080A1:	AB      	PLB 
8080A2:	AB      	PLB 
8080A3:	AD1042  	LDA $4210
8080A6:	AD4100  	LDA $0041
8080A9:	D012    	BNE $80BD
8080AB:	A901    	LDA #$01
8080AD:	8D4100  	STA $0041
8080B0:	223D8100	JSR $00813D	dma gfx
8080B4:	20CC80  	JSR $80CC		hdma
8080B7:	20EE80  	JSR $80EE		dma oam table
8080BA:	201781  	JSR $8117		dma color table
8080BD:	EE3800  	INC $0038
8080C0:	C220    	REP #$20
8080C2:	7A      	PLY 
8080C3:	FA      	PLX 
8080C4:	68      	PLA 
8080C5:	2B      	PLD 
8080C6:	AB      	PLB 
8080C7:	E220    	SEP #$20
8080C9:	40      	RTI
 
8080CA:	EA      	NOP 
8080CB:	40      	RTI

8080CC:	A00000  	LDY #$0000
8080CF:	BE4300  	LDX $0043,Y
8080D2:	F00C    	BEQ $80E0
8080D4:	22318200	JSR $008231
8080D8:	A900    	LDA #$00
8080DA:	994300  	STA $0043,Y
8080DD:	994400  	STA $0044,Y
8080E0:	C8      	INY 
8080E1:	C8      	INY 
8080E2:	C00800  	CPY #$0008
8080E5:	90E8    	BCC $80CF
8080E7:	AD4D00  	LDA $004D
8080EA:	8D0C42  	STA $420C
8080ED:	60      	RTS
 
8080EE:	AD4C00  	LDA $004C
8080F1:	F023    	BEQ $8116
8080F3:	F40043  	PEA $4300
8080F6:	2B      	PLD 
8080F7:	9C0221  	STZ $2102
8080FA:	9C0321  	STZ $2103
8080FD:	A902    	LDA #$02
8080FF:	8570    	STA $70
808101:	A904    	LDA #$04
808103:	8571    	STA $71
808105:	A28E02  	LDX #$028E
808108:	8672    	STX $72
80810A:	6474    	STZ $74
80810C:	A22002  	LDX #$0220
80810F:	8675    	STX $75
808111:	A980    	LDA #$80
808113:	8D0B42  	STA $420B
808116:	60      	RTS

808117:	AD4B00  	LDA $004B
80811A:	F020    	BEQ $813C
80811C:	F40043  	PEA $4300
80811F:	2B      	PLD 
808120:	9C2121  	STZ $2121
808123:	A902    	LDA #$02
808125:	8570    	STA $70
808127:	A922    	LDA #$22
808129:	8571    	STA $71
80812B:	A28E00  	LDX #$008E
80812E:	8672    	STX $72
808130:	6474    	STZ $74
808132:	A20002  	LDX #$0200
808135:	8675    	STX $75
808137:	A980    	LDA #$80
808139:	8D0B42  	STA $420B
80813C:	60      	RTS

80813D:	AD4200  	LDA $0042
808140:	F050    	BEQ $8192
808142:	F40043  	PEA $4300
808145:	2B      	PLD 
808146:	9C0000  	STZ $0000
808149:	A20000  	LDX #$0000
80814C:	BC4E00  	LDY $004E,x
80814F:	F02A    	BEQ $817B
808151:	8475    	STY $75
808153:	BC5000  	LDY $0050,x
808156:	8C1621  	STY $2116
808159:	A980    	LDA #$80
80815B:	8D1521  	STA $2115
80815E:	A00118  	LDY #$1801
808161:	8470    	STY $70
808163:	BC5200  	LDY $0052,x
808166:	BD5400  	LDA $0054,x
808169:	8472    	STY $72
80816B:	8574    	STA $74
80816D:	A980    	LDA #$80
80816F:	8D0B42  	STA $420B
808172:	8D0000  	STA $0000
808175:	9E4E00  	STZ $004E,x
808178:	9E4F00  	STZ $004F,x
80817B:	C220    	REP #$20
80817D:	8A      	TXA 
80817E:	18      	CLC 
80817F:	690800  	ADC #$0008
808182:	AA      	TAX 
808183:	E220    	SEP #$20
808185:	E04000  	CPX #$0040
808188:	90C2    	BCC $814C
80818A:	AD0000  	LDA $0000
80818D:	D003    	BNE $8192
80818F:	9C4200  	STZ $0042
808192:	6B      	RTL

8081B3:	8B      	PHB 
8081B4:	C220    	REP #$20
8081B6:	A20000  	LDX #$0000
8081B9:	A00100  	LDY #$0001
8081BC:	9C0000  	STZ $0000
8081BF:	A93900  	LDA #$0039
8081C2:	540000  	MVN $00,$00
8081C5:	A24100  	LDX #$0041
8081C8:	A04200  	LDY #$0042
8081CB:	9C4100  	STZ $0041
8081CE:	A94707  	LDA #$0747
8081D1:	540000  	MVN $00,$00
8081D4:	A29307  	LDX #$0793
8081D7:	A09407  	LDY #$0794
8081DA:	9C9307  	STZ $0793
8081DD:	A96B10  	LDA #$106B
8081E0:	540000  	MVN $00,$00
8081E3:	F47E7E  	PEA $7E7E
8081E6:	AB      	PLB 
8081E7:	AB      	PLB 
8081E8:	A21020  	LDX #$2010
8081EB:	9B      	TXY 
8081EC:	C8      	INY 
